1692277902.9458354
0 tensor(nan, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
840 tensor(0.0024, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
850 tensor(0.0024, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
860 tensor(0.0024, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
870 tensor(0.0024, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
880 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
890 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
900 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
910 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
920 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
930 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
940 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
950 tensor(0.0023, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
960 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
970 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
980 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
990 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1000 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1010 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1020 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1030 tensor(0.0022, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1040 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1050 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1060 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1070 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1080 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1090 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1100 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1110 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1120 tensor(0.0021, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1130 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1140 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1150 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1160 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1170 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1180 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1190 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1200 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1210 tensor(0.0020, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1220 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1230 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1240 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1250 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1260 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1270 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1280 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1290 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1300 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1310 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1320 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1330 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1340 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1350 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1360 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1370 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1380 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1390 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1400 tensor(0.0018, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1410 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1420 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1430 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1440 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1450 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1460 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1470 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1480 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1490 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1500 tensor(0.0017, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1510 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1520 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1530 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1540 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1550 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1560 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1570 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1580 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1590 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1600 tensor(0.0016, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1610 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1620 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1630 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1640 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1650 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1660 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1670 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1680 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1690 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1700 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1710 tensor(0.0015, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1720 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1730 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1740 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1750 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1760 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1770 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1780 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1790 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1800 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1810 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1820 tensor(0.0014, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1830 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1840 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1850 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1860 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1870 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1880 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1890 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1900 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1910 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1920 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1930 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1940 tensor(0.0013, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1950 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1960 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1970 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1980 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1990 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2000 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2010 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2020 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2030 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2040 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2050 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2060 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2070 tensor(0.0012, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2080 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2090 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2100 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2110 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2120 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2130 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2140 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2150 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2160 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2170 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2180 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2190 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2200 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2210 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2220 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2230 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2240 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2250 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2260 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2270 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2280 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2290 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2300 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2310 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2320 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2330 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2340 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2350 tensor(0.0010, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2360 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2370 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2380 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2390 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2400 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2410 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2420 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2430 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2440 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2450 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2460 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2470 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2480 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2490 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2500 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2510 tensor(0.0009, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2520 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2530 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2540 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2550 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2560 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2570 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2580 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2590 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2600 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2610 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2620 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2630 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2640 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2650 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2660 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2670 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2680 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2690 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2700 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2710 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2720 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2730 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2740 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2750 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2760 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2770 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2780 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2790 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2800 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2810 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2820 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2830 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2840 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2850 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2860 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2870 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2880 tensor(0.0007, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2890 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2900 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2910 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2920 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2930 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2940 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2950 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2960 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2970 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2980 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2990 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
3000 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
3010 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
3020 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
3030 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
3040 tensor(0.0006, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
